,Rank,Name,Position,Height,Weight
0,1,arrison-barnes,SF,80,209
1,2,ared-sullinger,PF,80,262
2,3,yrie-irving,PG,74,172
3,4,randon-knight,PG,75,183
4,5,osh-selby,PG,75,183
5,6,obias-harris,PF,80,210
6,7,erry-jones,PF,83,220
7,8,ill-barton,SG,78,170
8,9,errence-jones,SF,81,230
9,10,ristan-thompson,PF,81,235
10,11,j-leslie,PF,81,205
11,12,eshaun-thomas,SF,79,221
12,13,atric-young,PF,81,220
13,14,abricio-melo,C,84,274
14,15,ion-waiters,SG,76,210
15,16,ory-joseph,PG,75,180
16,17,ay-mccallum,PG,73,179
17,18,eggie-bullock,SG,78,190
18,19,oshua-hairston,PF,81,220
19,20,osh-smith,C,81,320
20,21,oe-jackson,PG,72,175
21,22,endall-marshall,PG,76,180
22,23,ereme-richmond,SF,79,195
23,24,ony-mitchell,PF,80,215
24,25,Enes Kanter,C,81,240
25,26,dreian-payne,PF,81,215
26,27,eith-appling,SG,74,180
27,28,yler-lamb,SG,76,190
28,29,oron-lamb,SG,76,183
29,30,errence-ross,SF,78,180
30,31,ander-blue,SG,75,195
31,32,ameron-clark,SF,78,184
32,33,rey-zeigler,SG,77,190
33,34,oscoe-smith,SF,80,190
34,35,asey-prather,SF,78,195
35,36,karo-white,PF,80,180
36,37,an-miller,SG,74,180
37,38,ordan-mcrae,SG,77,175
38,39,Ryan Harrow,PG,72,160
39,40,wight-powell,PF,82,212
40,41,ames-bell,SF,76,217
41,42,hil-pressey,PG,70,162
42,43,eala-king,SF,78,200
43,44,elan-kendrick,SG,77,186
44,45,ychal-parker,SG,77,190
45,46,ustin-martin,SG,78,215
46,47,eyers-leonard,C,84,215
47,48,ate-lubick,PF,81,222
48,49,t-terrell,SG,75,165
49,50,ustin-coleman,SG,77,210
50,51,tacey-poole,SG,77,190
51,52,revor-releford,PG,71,175
52,53,Jamail Jones,SF,78,200
53,54,Gerard Coleman,SG,76,170
54,55,Luke Cothron,PF,80,205
55,56,Geron Johnson,SG,74,185
56,57,Allen Crabbe,SG,78,190
57,58,Dominique Ferguson,PF,80,209
58,59,arik-black,PF,80,230
59,60,ravis-mckie,SF,78,195
60,61,ussell-byrd,SG,79,190
61,62,ayvaughn-pinkston,PF,78,220
62,63,j-fair,SF,79,196
63,64,arson-desrosiers,C,82,210
64,65,ary-franklin-jr,PG,74,183
65,66,od-odom,SF,80,195
66,67,ason-morris,SF,77,204
67,68,amontre-harris,C,81,210
68,69,Bryce Jones,SG,77,175
69,70,alston-turner,SG,78,193
70,71,uwan-staten,PG,71,169
71,72,Andre Stringer,PG,70,170
72,73,oah-cottrill,PG,73,180
73,74,elvin-tabb,PF,80,220
74,75,ichael-cobbins,PF,80,190
75,76,arkel-starks,PG,74,175
76,77,J.J. Moore,SF,77,200
77,78,T.J. Taylor,PG,75,200
78,79,randall-head,SG,75,186
79,80,enzelle-smith-jr,SG,76,205
80,81,nthony-brown,SF,78,180
81,82,Jordan Sibert,SG,76,185
82,83,R.J. Slawson,PF,80,190
83,84,van-smotrycz,PF,81,210
84,85,Demarco Cox,PF,81,300
85,86,Justin Jackson,PF,80,210
86,87,Matt Derenbecker,SF,79,185
87,88,Stargell Love,PG,74,180
88,89,Maurice Jones,PG,67,150
89,90,K.T. Harrell,SG,76,200
90,91,aniel-bejarano,SG,76,204
91,92,ames-johnson,PF,81,212
92,93,"Tim Hardaway, Jr.",SG,77,185
93,94,aniel-alexander,PF,80,192
94,95,aran-buie,SG,74,172
95,96,erian-grant,SF,76,175
96,97,Terrell Stoglin,PG,71,180
97,98,Joseph Young,SG,74,180
98,99,lex-kirk,C,82,226
