,year,round,pick,player,position,school,draft_name,identifier,Player,Class,Season,Pos,School,Conf,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,
144,2014,1,4,"Gordon, Aaron",PF,Arizona,Aaron Gordon,Aaron Gordon,Aaron Gordon,FR,2013-14,F,Arizona,Pac-12,38,31.2,5,10.1,4.6,8.9,0.4,1.2,2,4.7,2.7,5.3,8,2,0.9,1,1.4,2.4,12.4,,,,,,,
200,2015,2,49,"White, Aaron",PF,Iowa,Aaron White,Aaron White,Aaron White,SR,2014-15,F,Iowa,Big Ten,34,31.5,5,9.6,4.4,7.9,0.6,1.7,5.7,7,2.1,5.2,7.3,1.4,1.3,0.5,1.2,1.6,16.4,,,,,,,
244,2016,2,58,"Nader, Abdel",SF,Iowa State,Abdel Nader,Abdel Nader,Abdel Nader,SR,2015-16,F,Iowa State,Big 12,35,31.1,4.6,9.6,3.1,5.6,1.5,4,2.2,3,0.7,4.2,5,1.5,1.1,0.7,2.3,2.8,12.9,,,,,,,
6,2011,1,12,"Burks, Alec",SG,Colorado,Alec Burks,Alec Burks,Alec Burks,SO,2010-11,G,Colorado,Big 12,38,31.4,6.6,14.1,5.9,11.6,0.7,2.5,6.6,7.9,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3,20.5,,,,,,,
127,2013,2,57,"Oriakhi, Alex",C,Missouri,Alex Oriakhi,Alex Oriakhi,Alex Oriakhi,SO,2010-11,F,Connecticut,Big East,41,29.1,3.7,7.4,3.7,7.4,0,0,2.1,3.4,3.7,5,8.7,0.4,0.4,1.6,1.1,2.5,9.6,,,,,,,
103,2013,2,31,"Crabbe, Allen",SG,California,Allen Crabbe,Allen Crabbe,Allen Crabbe,JR,2012-13,G,University of California,Pac-12,33,36.2,6.5,14.2,4.6,8.6,1.9,5.6,3.4,4.2,1,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4,,,,,,,
5,2011,2,46,"Goudelock, Andrew",PG,College of Charleston,Andrew Goudelock,Andrew Goudelock,Andrew Goudelock,SR,2010-11,G,College of Charleston,Southern,37,35.2,8.6,18.9,5.1,10.2,3.5,8.7,3,3.6,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8,23.7,,,,,,,
206,2015,2,44,"Harrison, Andrew",PG,Kentucky,Andrew Harrison,Andrew Harrison,Andrew Harrison,FR,2013-14,G,Kentucky,SEC,40,31.7,3,8.3,2.2,5.9,0.8,2.4,4,5.2,0.8,2.4,3.2,4,0.5,0.2,2.7,3,10.9,,,,,,,
157,2014,1,1,"Wiggins, Andrew",SF/SG,Kansas,Andrew Wiggins,Andrew Wiggins,Andrew Wiggins,FR,2013-14,G,Kansas,Big 12,35,32.8,5.4,12.1,4.2,8.5,1.2,3.6,5,6.5,2.2,3.7,5.9,1.5,1.2,1,2.3,2.7,17.1,,,,,,,
221,2015,2,34,"Brown, Anthony",SF,Stanford,Anthony Brown,Anthony Brown,Anthony Brown,SR,2014-15,G,Stanford,Pac-12,37,35.7,4.8,11,2.6,6.2,2.1,4.8,3.1,3.9,1.1,5.8,6.9,2.5,0.8,0.2,1.9,2.1,14.8,,,,,,,
