,year,round,pick,player,position,school
1,1980,1,1,"Carroll, Joe Barry",F/C,Purdue
2,1980,1,2,"Griffith, Darrell",G,Louisville
3,1980,1,3,"McHale, Kevin",F/C,Minnesota
4,1980,1,4,"Ransey, Kelvin",G,Ohio State
5,1980,1,5,"Ray, James",F,Jacksonville
6,1980,1,6,"O'Koren, Mike",G/F,North Carolina
7,1980,1,7,"Gminski, Mike",C,Duke
8,1980,1,8,"Toney, Andrew",G,Southwestern Louisiana
9,1980,1,9,"Brooks, Michael",F,La Salle
10,1980,1,10,"Lester, Ronnie",G,Iowa
11,1980,1,11,"Vandeweghe, Kiki",F,UCLA
12,1980,1,12,"Woodson, Mike",G/F,Indiana
13,1980,1,13,"Brown, Rickey",F/C,Mississippi State
14,1980,1,14,"Matthews, Wes",G,Wisconsin
15,1980,1,15,"Johnson, Reggie",F/C,Tennessee
16,1980,1,16,"Whitney, Charles",G/F,NC State
17,1980,1,17,"Drew, Larry",G,Missouri
18,1980,1,18,"Collins, Don",G/F,Washington State
19,1980,1,19,"Duren, John",G,Georgetown
20,1980,1,20,"Hanzlik, Bill",G/F,Notre Dame
21,1980,1,21,"Davis, Monti",F,Tennessee State
22,1980,1,22,"Kinch, Chad",G,UNC Charlotte
23,1980,1,23,"Nicks, Carl",G,Indiana State
24,1980,2,24,"Smith, Larry",F/C,Alcorn State
25,1980,2,25,"Ruland, Jeff",F/C,Iona
26,1980,2,26,"Worthen, Sam",F,Marquette
27,1980,2,27,"Stroud, John",F,Mississippi
28,1980,2,28,"Shelton, Craig",F,Georgetown
29,1980,2,29,"Orr, Louis",F,Syracuse
30,1980,2,30,"Natt, Kenny",G,Northeast Louisiana
31,1980,2,31,"Robinson, Wayne",F,Virginia Tech
32,1980,2,32,"Lawrence, David",F,McNeese State
33,1980,2,33,"Collins, Bruce",G/F,Weber State
34,1980,2,34,"Bouie, Roosevelt",C,Syracuse
35,1980,2,35,"Mahorn, Rick",F/C,Hampton
36,1980,2,36,"Scales, DeWayne",F,LSU
37,1980,2,37,"Carter, Butch",G,Indiana
38,1980,2,38,"Stotts, Terry",F,Oklahoma
39,1980,2,39,"Wiley, Michael",F,Long Beach State
40,1980,2,40,"Miller, Dick",F,Toledo
41,1980,2,41,"Oldham, Jawann",C,Seattle
42,1980,2,42,"Belton, Kimberly",F,Stanford
43,1980,2,43,"Williams, Billy",G,Clemson
44,1980,2,44,"Austin, Clyde",G,NC State
45,1980,2,45,"Branson, Brad",F/C,SMU
46,1980,2,46,"Hallman, Arnette",F,Purdue
47,1981,1,1,"Aguirre, Mark",G/F,DePaul
48,1981,1,2,"Thomas, Isiah",G,Indiana
49,1981,1,3,"Williams, Buck",F/C,Maryland
50,1981,1,4,"Wood, Al",G/F,North Carolina
51,1981,1,5,"Vranes, Danny",F,Utah
52,1981,1,6,"Woolridge, Orlando",F,Notre Dame
53,1981,1,7,"Johnson, Steve",F/C,Oregon State
54,1981,1,8,"Chambers, Tom",F/C,Utah
55,1981,1,9,"Blackman, Rolando",G,Kansas State
56,1981,1,10,"King, Albert",G/F,Maryland
57,1981,1,11,"Johnson, Frank",G,Wake Forest
58,1981,1,12,"Tripucka, Kelly",G/F,Notre Dame
59,1981,1,13,"Schayes, Danny",F/C,Syracuse
60,1981,1,14,"Williams, Herb",F/C,Ohio State
61,1981,1,15,"Lamp, Jeff",G/F,Virginia
62,1981,1,16,"Valentine, Darnell",G,Kansas
63,1981,1,17,"Loder, Kevin",G/F,Alabama State
64,1981,1,18,"Tolbert, Ray",F,Indiana
65,1981,1,19,"McGee, Mike",G/F,Michigan
66,1981,1,20,"Nance, Larry",F/C,Clemson
67,1981,1,21,"Lister, Alton",F/C,Arizona State
68,1981,1,22,"Edwards, Franklin",G,Cleveland State
69,1981,1,23,"Bradley, Charles",G,Wyoming
70,1981,2,24,"Vincent, Jay",F,Michigan State
71,1981,2,25,"Jackson, Tracy",G/F,Notre Dame
72,1981,2,26,"Jackson, Brian",F,Utah State
73,1981,2,27,"Wood, Howard",F,Tennessee
74,1981,2,28,"Banks, Gene",G/F,Duke
