Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kemba Walker\kemba-walker-1,JR,2010-11,G,Connecticut,Big East,41,1543,37.6,7.7,18,5.9,12.5,1.8,5.5,6.3,7.7,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5
2,Devonte' Graham\devonte-graham-1,SR,2017-18,G,Kansas,Big 12,39,1474,37.8,5.1,12.8,2.3,5.8,2.8,6.9,4.3,5.2,0.6,3.4,4,7.2,1.6,0.1,2.8,1.4,17.3
3,Tyus Battle\tyus-battle-1,SO,2017-18,G,Syracuse,ACC,37,1443,39,6.3,15.8,4.2,9.4,2.1,6.5,4.5,5.4,0.5,2.5,2.9,2.1,1.5,0.2,2.4,2,19.2
4,Muhammad-Ali Abdur-Rahkman\muhammad-ali-abdur-rahkman-1,SR,2017-18,G,Michigan,Big Ten,41,1432,34.9,4.4,10.1,2.6,5.4,1.8,4.8,2.4,3.1,0.7,3.2,3.9,3.2,0.9,0.2,0.7,1.6,12.9
5,Franklin Howard\franklin-howard-1,JR,2017-18,G,Syracuse,ACC,37,1422,38.4,5.1,13.4,3.2,7.9,1.8,5.5,2.5,3.5,0.5,3,3.5,4.7,1.8,0.3,3.4,2.6,14.4
6,Oshae Brissett\oshae-brissett-1,FR,2017-18,F,Syracuse,ACC,37,1411,38.1,4.4,12.4,2.9,7.9,1.5,4.5,4.7,6,2.2,6.6,8.8,0.9,1.2,0.8,1.9,2.2,14.9
7,Michael Carter-Williams\michael-carter-williams-1,SO,2012-13,G,Syracuse,Big East,40,1409,35.2,3.9,9.9,3,6.9,0.9,3,3.2,4.7,1.3,3.7,5,7.3,2.7,0.5,3.5,2.3,11.9
8,Jerian Grant\jerian-grant-1,SR,2014-15,G,Notre Dame,ACC,38,1408,37.1,5.4,11.2,4.1,7.1,1.3,4.2,4.5,5.7,0.3,2.7,3,6.7,1.7,0.5,2.2,2,16.5
9,Shabazz Napier\shabazz-napier-1,SR,2013-14,G,Connecticut,AAC,40,1404,35.1,5.3,12.4,3.2,7,2.2,5.4,5.2,6,1,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18
10,Michael Gbinije\michael-gbinije-1,SR,2015-16,F,Syracuse,ACC,37,1403,37.9,6.1,13.2,3.6,6.9,2.5,6.3,2.9,4.3,1.1,3,4.1,4.3,1.9,0.4,2.8,2.6,17.5
11,Bryce Cotton\bryce-cotton-1,SR,2013-14,G,Providence,Big East,35,1398,39.9,6.6,15.7,4.4,9.7,2.2,6,6.5,7.6,0.5,3,3.5,5.9,1,0.1,2.4,1.5,21.8
12,Quinn Cook\quinn-cook-1,SR,2014-15,G,Duke,ACC,39,1396,35.8,5.1,11.3,2.5,4.6,2.6,6.6,2.5,2.8,0.4,3,3.4,2.6,1,0,1.2,1.9,15.3
13,C.J. Fair\cj-fair-1,JR,2012-13,F,Syracuse,Big East,40,1394,34.9,5.4,11.6,4.7,10,0.8,1.6,2.9,3.9,2.1,4.8,6.9,0.7,1.1,1.1,1.6,1.6,14.5
14,Antoine Young\antoine-young-1,JR,2010-11,G,Creighton,MVC,39,1393,35.7,4.4,11.1,3.4,8,1,3.2,3.3,4.4,0.4,2.2,2.6,5,0.9,0.1,2.1,1.3,13.1
15,Ryan Woolridge\ryan-woolridge-1,SO,2017-18,G,North Texas,CUSA,38,1391,36.6,5,10.1,4.6,8.7,0.4,1.4,2.2,4.4,0.9,4.3,5.2,5.8,1.4,0.4,3.4,2.1,12.7
16,Nick Coppola\nick-coppola-1,SO,2014-15,G,Louisiana-Monroe,Sun Belt,38,1384,36.4,3.3,8,1.8,4.1,1.5,3.9,1.3,1.8,0.2,2.9,3.1,3.7,0.9,0,1.8,1.8,9.4
17,Bradford Burgess\bradford-burgess-1,JR,2010-11,G,Virginia Commonwealth,CAA,40,1380,34.5,4.8,9.9,3,5.8,1.8,4.2,2.8,3.8,2.1,4.2,6.3,1.7,1.1,0.8,1.5,2.2,14.3
18,Jon Elmore\jon-elmore-1,JR,2017-18,G,Marshall,CUSA,36,1380,38.3,6.8,15.4,4,7.8,2.7,7.6,6.4,7.8,0.4,5.4,5.8,6.8,1.6,0.4,3.7,1.6,22.7
19,Trey Burke\trey-burke-1,SO,2012-13,G,Michigan,Big Ten,39,1378,35.3,6.6,14.4,4.7,9.3,1.9,5.1,3.4,4.3,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,18.6
20,Kyle Kuric\kyle-kuric-1,SR,2011-12,G,Louisville,Big East,38,1369,36,4.3,10.3,2.3,4.2,2,6.1,1.9,2.4,1.2,3,4.2,1.2,1.2,0.5,1,2.1,12.6
21,Brandon Knight\brandon-knight-1,FR,2010-11,G,Kentucky,SEC,38,1363,35.9,5.7,13.5,3.4,7.4,2.3,6.1,3.6,4.5,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3
22,Darius Thompson\darius-thompson-1,SR,2017-18,G,Western Kentucky,CUSA,38,1354,35.6,4.7,10.1,3.2,6.1,1.4,4,2.9,3.9,0.6,3.6,4.2,4.8,1.5,0.5,1.7,1.8,13.6
23,Pat Connaughton\pat-connaughton-1,SR,2014-15,G,Notre Dame,ACC,38,1351,35.6,4.4,9.4,1.9,3.6,2.4,5.8,1.3,1.7,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2,12.5
24,Jonah Radebaugh\jonah-radebaugh-1,SO,2017-18,G,Northern Colorado,Big Sky,38,1350,35.5,2.6,5.6,0.9,1.8,1.7,3.8,1.1,1.6,1.2,4.8,6,1.3,1,0.3,0.9,2.3,7.9
25,Marvelle Harris\marvelle-harris-2,SO,2013-14,G,Fresno State,MWC,39,1349,34.6,4.5,10.9,3.1,7,1.4,3.9,3.8,5,0.8,4.5,5.3,1.9,1,0.3,1.5,2.4,14.3
26,Temple Gibbs\temple-gibbs-1,SO,2017-18,G,Notre Dame,ACC,36,1348,37.4,4.8,11.6,2.5,6,2.3,5.6,3.6,4.3,0.8,2,2.8,3,1,0.1,1.5,1.8,15.3
27,Brandon Triche\brandon-triche-1,SR,2012-13,G,Syracuse,Big East,40,1348,33.7,4.6,11.1,3.4,6.9,1.2,4.3,3.1,4.2,1.4,2,3.4,3.6,1.3,0.1,2.7,2.2,13.6
28,Trevor Cooney\trevor-cooney-1,SR,2015-16,G,Syracuse,ACC,37,1347,36.4,4.1,11.6,1.6,4.6,2.5,7,2.4,2.9,0.6,2,2.6,2.2,1.6,0.1,1.5,1.3,12.9
29,Tylor Ongwae\tylor-ongwae-1,SR,2014-15,F,Louisiana-Monroe,Sun Belt,38,1347,35.4,5.2,12.8,4.6,10.1,0.7,2.7,3.3,4,2.4,4.2,6.6,2.9,1,0.3,2.4,2.2,14.4
30,Chasson Randle\chasson-randle-1,SR,2014-15,G,Stanford,Pac-12,37,1347,36.4,5.9,14.6,3.4,7.9,2.4,6.7,5.4,6.2,0.3,3,3.3,3,1.4,0.1,2,2.2,19.6
31,Sviatoslav Mykhailiuk\sviatoslav-mykhailiuk-1,SR,2017-18,G,Kansas,Big 12,39,1346,34.5,5.3,12.1,2.3,5.5,2.9,6.6,1.2,1.4,1.1,2.8,3.9,2.7,1.2,0.3,1.7,2.5,14.6
32,Zak Irvin\zak-irvin-1,SR,2016-17,G,Michigan,Big Ten,38,1345,35.4,5.1,11.3,3.7,7.2,1.4,4.1,1.3,2,0.6,3.9,4.5,3,0.9,0.1,1.9,1.2,13
33,Joey Rodriguez\joey-rodriguez-1,SR,2010-11,G,Virginia Commonwealth,CAA,40,1343,33.6,3.2,9.2,1.4,4,1.7,5.1,2.3,2.9,0.6,2.6,3.2,5.2,1.5,0.1,2.3,2.2,10.4
34,DeAndre Bembry\deandre-bembry-1,JR,2015-16,F,Saint Joseph's,A-10,36,1341,37.3,6.6,13.8,5.7,10.3,0.9,3.6,3.3,4.9,1.4,6.3,7.8,4.5,1.4,0.8,2,2.4,17.4
35,Eric Atkins\eric-atkins-1,JR,2012-13,G,Notre Dame,Big East,35,1340,38.3,3.9,9,2.5,5.6,1.4,3.4,1.9,3,0.7,1.9,2.6,5.5,1.4,0.1,2.1,1.9,11.2
36,Kevin Anderson\kevin-anderson-1,SR,2010-11,G,Richmond,A-10,37,1339,36.2,5.7,13.4,3.8,8.6,1.9,4.7,3.2,4.3,0.4,2.4,2.8,3.3,1.4,0.1,1.9,1.5,16.6
37,Ky Bowman\ky-bowman-1,SO,2017-18,G,Boston College,ACC,35,1337,38.2,6.3,14.9,4,8.6,2.3,6.3,2.7,3.4,0.8,6,6.8,4.7,1.5,0.3,3.2,2.6,17.6
38,Trey Freeman\trey-freeman-2,SR,2015-16,G,Old Dominion,CUSA,38,1333,35.1,8.5,19.8,7.2,16,1.3,3.8,3.7,4.5,0.6,3.7,4.2,3,1,0.1,1.3,1.8,22.1
39,Monte Morris\monte-morris-1,JR,2015-16,G,Iowa State,Big 12,35,1331,38,5.4,11,4.3,8,1.1,3,2,2.7,0.7,3.2,3.9,6.9,1.8,0.3,1.6,1.6,13.8
40,Billy Baron\billy-baron-1,SR,2013-14,G,Canisius,MAAC,34,1325,39,7.3,15.6,4.1,8.2,3.1,7.5,6.5,7.3,0.5,4.4,4.9,5.3,1.6,0,3,1.1,24.1
41,Tim Hardaway\tim-hardaway-jr-1,JR,2012-13,G,Michigan,Big Ten,38,1324,34.8,5.3,12.1,3.4,7,1.9,5.1,2,2.9,0.2,4.4,4.7,2.4,0.7,0.4,1.9,1.9,14.5
42,Jimmer Fredette\jimmer-fredette-1,SR,2010-11,G,Brigham Young,MWC,37,1323,35.8,9.4,20.7,6,12.2,3.4,8.5,6.8,7.6,0.6,2.8,3.4,4.3,1.3,0,3.5,1.3,28.9
43,Damon Lynn\damon-lynn-1,JR,2015-16,G,NJIT,A-Sun,35,1323,37.8,5.6,15,2.3,5,3.3,10,3.8,4.6,0.3,2.7,3,3.3,1.6,0.1,2,1.3,18.3
44,Derrick Walton\derrick-walton-1,SR,2016-17,G,Michigan,Big Ten,38,1323,34.8,4.5,10.3,1.9,4.2,2.6,6.1,3.9,4.5,0.4,4.3,4.8,5,1.1,0,1.7,1.7,15.5
45,Tyus Jones\tyus-jones-1,FR,2014-15,G,Duke,ACC,39,1322,33.9,3.5,8.3,2.3,5.1,1.2,3.2,3.7,4.2,0.5,3,3.5,5.6,1.5,0.1,1.9,1.2,11.8
46,Joseph Young\joseph-young-1,SR,2014-15,G,Oregon,Pac-12,36,1322,36.7,7.4,16.4,4.8,9.4,2.5,7.1,3.4,3.7,0.5,3.9,4.4,3.8,1.1,0,2.4,1.4,20.7
47,Anthony Brown\anthony-brown-5,SR,2014-15,G,Stanford,Pac-12,37,1320,35.7,4.8,11,2.6,6.2,2.1,4.8,3.1,3.9,1.1,5.8,6.9,2.5,0.8,0.2,1.9,2.1,14.8
48,William Buford\william-buford-1,SR,2011-12,G,Ohio State,Big Ten,39,1320,33.8,5.3,12.5,3.7,8.1,1.6,4.4,2.4,2.9,0.9,4.1,5,2.7,0.8,0.2,2.2,1.8,14.5
49,Jon Diebler\jon-diebler-1,SR,2010-11,G,Ohio State,Big Ten,37,1320,35.7,3.9,7.7,0.8,1.6,3.1,6.1,1.7,2.1,0.4,2.3,2.6,2.4,1,0.1,0.9,1,12.6
50,Josh Gasser\josh-gasser-1,SR,2014-15,G,Wisconsin,Big Ten,40,1320,33,1.9,4.4,0.7,1.2,1.2,3.2,1.6,1.9,0.7,2.8,3.5,1.8,0.8,0.2,0.5,2.3,6.6
51,Langston Hall\langston-hall-1,SO,2011-12,G,Mercer,A-Sun,38,1320,34.7,3.4,9.2,1.6,4.1,1.8,5,2.7,3.6,0.2,3.2,3.4,4.2,1.3,0.2,2.7,1.9,11.4
52,Grayson Allen\grayson-allen-1,SR,2017-18,G,Duke,ACC,37,1319,35.6,4.9,11.7,2.1,4.2,2.8,7.5,2.9,3.4,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1,15.5
53,Nigel Hayes\nigel-hayes-1,SO,2014-15,F,Wisconsin,Big Ten,40,1319,33,4.2,8.4,3.2,5.8,1,2.5,3.1,4.2,2.1,4.1,6.2,2,0.9,0.4,1.3,1.9,12.4
54,D.J. Balentine\dj-balentine-1,JR,2014-15,G,Evansville,MVC,36,1318,36.6,6.8,15.6,4.8,10.4,2.1,5.3,4.4,5.9,0.5,2.7,3.2,3.2,0.8,0.2,2.2,1,20.1
55,Ben Brust\ben-brust-1,SR,2013-14,G,Wisconsin,Big Ten,38,1318,34.7,4.1,9.8,1.6,3.4,2.5,6.4,2.1,2.3,0.8,3.7,4.5,1.3,0.8,0.1,0.7,0.9,12.8
56,Demetrius Jackson\demetrius-jackson-2,SO,2014-15,G,Notre Dame,ACC,38,1318,34.7,4.4,8.7,3,5.3,1.4,3.3,2.2,2.9,1.2,2.4,3.6,3.1,1.6,0.3,1.5,1.9,12.4
57,Marquis Wright\marquis-wright-2,FR,2013-14,G,Siena,MAAC,38,1318,34.7,3.2,7.5,3,6.5,0.2,1,2.2,3.1,1.3,2.6,3.9,5.2,1.7,0.3,3.1,2.5,8.7
58,Grayson Allen\grayson-allen-1,SO,2015-16,G,Duke,ACC,36,1317,36.6,6.6,14.3,4.1,8.3,2.5,6,5.9,7,0.7,3.9,4.6,3.5,1.3,0.1,2,2.7,21.6
59,Clifford Reed\cj-reed-1,JR,2010-11,G,Bethune-Cookman,MEAC,34,1315,38.7,6,15.4,4.4,10.5,1.6,4.9,5.3,6.4,0.8,3,3.8,4.8,1.6,0,3,2.6,18.8
60,Matt Williams\matt-williams-4,SR,2016-17,G,Central Florida,AAC,36,1315,36.5,4.9,12.6,1.4,3.5,3.5,9.1,1.7,2.1,0.4,3.8,4.3,1.9,0.7,0,1.8,1.8,15.1
61,Justin Johnson\justin-johnson-7,SR,2017-18,F,Western Kentucky,CUSA,38,1314,34.6,6.3,12.2,5.1,9.2,1.2,3,1.8,3.2,2.2,7.3,9.5,1.3,0.7,0.7,1.5,1.8,15.7
62,Luke Kennard\luke-kennard-1,SO,2016-17,G,Duke,ACC,37,1314,35.5,6.4,13.1,4,7.7,2.4,5.4,4.3,5.1,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5
63,Jevon Carter\jevon-carter-1,SR,2017-18,G,West Virginia,Big 12,37,1313,35.5,5.8,13.8,3.7,8.5,2.1,5.3,3.6,4.2,0.8,3.9,4.6,6.6,3,0.4,2.6,3,17.3
64,Gorgui Dieng\gorgui-dieng-1,SO,2011-12,C,Louisville,Big East,40,1312,32.8,3.6,6.9,3.6,6.9,0,0.1,1.8,2.7,3.5,5.6,9.1,1.1,1.2,3.2,2,3.3,9.1
65,Taveion Hollingsworth\taveion-hollingsworth-1,FR,2017-18,G,Western Kentucky,CUSA,38,1312,34.5,4.5,9.3,3.3,6.2,1.2,3.1,3.2,4,0.8,2.6,3.4,1.9,1,0.1,1.8,2,13.3
66,Glenn Robinson\glenn-robinson-2,FR,2012-13,F,Michigan,Big Ten,39,1312,33.6,4.3,7.5,3.7,5.7,0.6,1.8,1.8,2.7,2.1,3.3,5.4,1.1,1,0.3,0.8,1.1,11
67,Frank Kaminsky\frank-kaminsky-1,SR,2014-15,C,Wisconsin,Big Ten,39,1311,33.6,6.8,12.5,5.8,9.9,1.1,2.6,4,5.1,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8
68,Shane Larkin\shane-larkin-1,SO,2012-13,G,Miami (FL),ACC,36,1311,36.4,5.1,10.6,3.2,5.9,1.9,4.7,2.4,3.1,0.5,3.4,3.8,4.6,2,0.1,2.3,1.6,14.5
69,Buddy Hield\buddy-hield-1,SR,2015-16,G,Oklahoma,Big 12,37,1309,35.4,8.1,16.2,4.2,7.5,4,8.7,4.8,5.4,1.2,4.5,5.7,2,1.1,0.5,3.1,2.1,25
70,Ben Lammers\ben-lammers-1,JR,2016-17,C,Georgia Tech,ACC,37,1309,35.4,5.8,11.2,5.8,11.2,0,0.1,2.6,3.6,3,6.2,9.2,2.1,1.2,3.4,1.7,2.3,14.2
71,Deshaun Thomas\deshaun-thomas-1,JR,2012-13,F,Ohio State,Big Ten,37,1309,35.4,7,15.8,5.1,10.1,1.9,5.6,3.8,4.6,1.7,4.2,5.9,1.3,0.5,0.3,1.4,1.5,19.8
72,Travis Trice\travis-trice-1,SR,2014-15,G,Michigan State,Big Ten,39,1309,33.6,5,12.6,2.7,6.3,2.3,6.3,3,4.2,0.5,2.7,3.2,5.1,1,0.2,1.8,1.8,15.3
