,Unnamed: 0,year,round,pick,position,school,Player,Class,Season,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,teamyear,Rk,Team,Conf_y,W-L,BPI Off,BPI Def,BPI,Year,identifier_hs,Rank,Name,Position,Height,Weight,Player
26,66,2011,2,41,PG,Michigan,Darius Morris,SO,2010-11,G,Michigan,Big Ten,35,34.8,5.7,11.7,5.3,9.9,0.5,1.8,3.1,4.3,0.9,3.1,4,6.7,1,0,2.9,2.1,15,Michigan2011,49,Michigan,Big Ten,21-14,1.4,7.7,9.1,2011,,100,,,76,190,Darius Morris
223,150,2015,2,43,PG,Oregon,Joseph Young,SR,2014-15,G,Oregon,Pac-12,36,36.7,7.4,16.4,4.8,9.4,2.5,7.1,3.4,3.7,0.5,3.9,4.4,3.8,1.1,0,2.4,1.4,20.7,Oregon2015,116,Oregon,Pac-12,26-10,7.1,-3.5,3.6,2015,Joseph Young,98,Joseph Young,SG,74,180,Joseph Young
244,76,2016,1,14,SG/SF,Michigan State,Denzel Valentine,JR,2014-15,G,Michigan State,Big Ten,39,33.2,5.1,11.4,2.4,5.1,2.6,6.3,1.8,2.2,1.2,5.1,6.3,4.3,0.9,0.2,2.4,2.2,14.5,Michigan State2016,3,Michigan State,Big Ten,29-6,10.5,8.1,18.6,2016,Denzel Valentine,98,Denzel Valentine,SF,77,205,Denzel Valentine
203,137,2015,1,19,PG,Notre Dame,Jerian Grant,SR,2014-15,G,Notre Dame,ACC,38,37.1,5.4,11.2,4.1,7.1,1.3,4.2,4.5,5.7,0.3,2.7,3,6.7,1.7,0.5,2.2,2,16.5,Notre Dame2015,11,Notre Dame,ACC,32-6,13,2.8,15.8,2015,Jerian Grant,96,Jerian Grant,SF,76,175,Jerian Grant
327,129,2017,2,59,SF,Clemson,Jaron Blossomgame,SR,2016-17,F,Clemson,ACC,33,34.3,6.7,13.4,5.9,10.5,0.7,2.8,3.6,5.1,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6,17.7,Clemson2017,39,Clemson,ACC,17-16,6.6,3.5,10,2017,Jaron Blossomgame,95,Jaron Blossomgame,SF,79,200,Jaron Blossomgame
180,179,2014,2,48,SG/SF,Pittsburgh,Lamar Patterson,SR,2013-14,G,Pittsburgh,ACC,36,32.6,5.6,12.7,3.4,7,2.2,5.7,3.7,4.9,1,3.9,4.9,4.3,1.4,0.3,2.6,2,17.1,Pittsburgh2014,10,Pittsburgh,ACC,26-10,7.1,8.3,15.4,2014,,94,,,77,200,Lamar Patterson
13,230,2011,1,24,PG,Boston College,Reggie Jackson,JR,2010-11,G,Boston College,ACC,34,34.1,6.4,12.8,4.4,7.8,2.1,5,3.2,4,1,3.3,4.3,4.5,1.1,0.5,2.4,1.7,18.2,Boston College2011,72,Boston College,ACC,21-13,6.4,-0.1,6.3,2011,,94,,,75,165,Reggie Jackson
116,254,2013,1,24,SG,Michigan,Tim Hardaway Jr.,JR,2012-13,G,Michigan,Big Ten,38,34.8,5.3,12.1,3.4,7,1.9,5.1,2,2.9,0.2,4.4,4.7,2.4,0.7,0.4,1.9,1.9,14.5,Michigan2013,8,Michigan,Big Ten,31-8,11,5,16.1,2013,"Tim Hardaway, Jr.",93,"Tim Hardaway, Jr.",SG,77,185,Tim Hardaway Jr.
305,151,2017,1,30,SG,Villanova,Josh Hart,SR,2016-17,G,Villanova,Big East,36,33.1,6.6,12.9,4.5,7.8,2.1,5.1,3.5,4.7,1.4,5,6.4,2.9,1.6,0.3,2,2.3,18.7,Villanova2017,2,Villanova,Big East,32-4,11.9,8.4,20.3,2017,Josh Hart,92,Josh Hart,SF,76,190,Josh Hart
25,143,2011,2,40,PF,Wisconsin,Jon Leuer,SR,2010-11,F,Wisconsin,Big Ten,34,33.5,6.7,14.2,5.1,9.9,1.6,4.3,3.3,3.9,1.7,5.6,7.2,1.6,0.5,0.9,1.6,2.2,18.3,Wisconsin2011,8,Wisconsin,Big Ten,25-9,3.7,12.2,16,2011,,91,,,72,210,Jon Leuer
