,year,round,pick,player,position,school
1627,2010,1,1,"Wall, John",PG,Kentucky
1628,2010,1,2,"Turner, Evan",SF/SG,Ohio State
1629,2010,1,3,"Favors, Derrick",PF,Georgia Tech
1630,2010,1,4,"Johnson, Wesley",SF,Syracuse
1631,2010,1,5,"Cousins, DeMarcus",C,Kentucky
1632,2010,1,6,"Udoh, Ekpe",C,Baylor
1633,2010,1,7,"Monroe, Greg",PF,Georgetown
1634,2010,1,8,"Aminu, Al-Farouq",SF,Wake Forest
1635,2010,1,9,"Hayward, Gordon",SF,Butler
1636,2010,1,10,"George, Paul",SF,Fresno State
1637,2010,1,11,"Aldrich, Cole",C,Kansas
1638,2010,1,12,"Henry, Xavier",SG,Kansas
1639,2010,1,13,"Davis, Ed",PF,North Carolina
1640,2010,1,14,"Patterson, Patrick",PF,Kentucky
1641,2010,1,15,"Sanders, Larry",C,VCU
1642,2010,1,16,"Babbitt, Luke",SF,Nevada
1643,2010,1,17,"SÌÎå©raphin, KÌÎå©vin",PF,Cholet Basket
1644,2010,1,18,"Bledsoe, Eric",PG,Kentucky
1645,2010,1,19,"Bradley, Avery",SG,Texas
1646,2010,1,20,"Anderson, James",SG,Oklahoma State
1647,2010,1,21,"Brackins, Craig",PF,Iowa State
1648,2010,1,22,"Williams, Elliot",SG,Memphis
1649,2010,1,23,"Booker, Trevor",PF,Clemson
1650,2010,1,24,"James, Damion",SF,Texas
1651,2010,1,25,"Jones, Dominique",SG,USF
1652,2010,1,26,"Pondexter, Quincy",SF,Washington
1653,2010,1,27,"Crawford, Jordan",SG,Xavier
1654,2010,1,28,"VÌÎÌsquez, Greivis",PG,Maryland
1655,2010,1,29,"Orton, Daniel",C,Kentucky
1656,2010,1,30,"Hayward, Lazar",SF,Marquette
1657,2010,2,31,"PleiÌÎÌª, Tibor",C,Brose Bamberg
1658,2010,2,32,"Pittman, Dexter",C,Texas
1659,2010,2,33,"Whiteside, Hassan",C,Marshall
1660,2010,2,34,"Johnson, Armon",PG,Nevada
1661,2010,2,35,"Bjelica, Nemanja",SF,Red Star Belgrade
1662,2010,2,36,"White, Terrico",SG,Ole Miss
1663,2010,2,37,"Hobson, Darington",SF,New Mexico
1664,2010,2,38,"Rautins, Andy",SG,Syracuse
1665,2010,2,39,"Fields, Landry",SG,Stanford
1666,2010,2,40,"Stephenson, Lance",SG,Cincinnati
1667,2010,2,41,"Varnado, Jarvis",PF,Mississippi State
