player_id,year,round,pick,Player,Class,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Rk,W,L,BPI Off,BPI Def,BPI,Player_Rank,Outside100,Height,Weight
0,2011,1,12,Alec Burks,SO,G,Colorado,Big 12,38,31.4,6.6,14.1,5.9,11.6,0.7,2.5,6.6,7.9,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3,20.5,71,24,14,9.5,-3.1,6.3,0,1,76,200
1,2011,2,46,Andrew Goudelock,SR,G,College of Charleston,Southern,37,35.2,8.6,18.9,5.1,10.2,3.5,8.7,3,3.6,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8,23.7,65,26,11,7.5,-0.1,7.4,0,1,72,175
2,2012,1,27,Arnett Moultrie,JR,F,Mississippi State,SEC,30,35.8,6,10.9,5.7,10.3,0.3,0.6,4.1,5.3,3.7,6.8,10.5,1.2,0.8,0.8,2.4,2.2,16.4,61,21,12,6,0.9,6.9,0,1,82,205
3,2016,2,51,Ben Bentil,SO,F,Providence,Big East,35,34.2,7,15.2,5.5,10.7,1.5,4.5,5.5,7.1,2.7,5,7.7,1.1,0.9,1,1.9,2.8,21.1,62,24,11,3.8,3.6,7.4,0,1,80,225
4,2011,2,45,Josh Harrellson,SR,F,Kentucky,SEC,38,28.5,3.3,5.5,3.3,5.2,0.1,0.3,0.9,1.5,3.7,5,8.7,0.8,0.9,1.5,0.7,2.4,7.6,5,29,9,8.7,7.8,16.5,0,1,83,270
5,2016,1,6,Buddy Hield,SR,G,Oklahoma,Big 12,37,35.4,8.1,16.2,4.2,7.5,4,8.7,4.8,5.4,1.2,4.5,5.7,2,1.1,0.5,3.1,2.1,25,13,29,8,10.1,4.8,14.9,0,1,76,185
6,2016,2,59,Isaiah Cousins,SR,G,Oklahoma,Big 12,37,33.3,4.6,11.2,2.8,7,1.8,4.3,1.8,2.6,0.6,3.8,4.5,4.5,1.4,0.3,2.4,1.7,12.6,13,29,8,10.1,4.8,14.9,0,1,76,188
7,2013,1,10,C.J. McCollum,JR,G,Lehigh,Patriot,35,33.1,7.3,16.4,5.5,11.3,1.7,5,5.7,7,1.4,5.1,6.5,3.5,2.6,0.5,2.3,2.1,21.9,79,21,10,5.6,0.5,6.1,0,1,74,165
8,2014,1,28,C.J. Wilcox,SR,G,Washington,Pac-12,32,34.9,6.2,13.6,3.3,6.4,2.8,7.2,3.2,3.7,0.7,3,3.7,2.5,1,1,1.7,2.3,18.3,117,17,15,5.7,-2.5,3.1,0,1,77,190
9,2014,2,49,Cameron Bairstow,SR,F,New Mexico,MWC,34,32.9,7,12.5,6.9,12.4,0,0.1,6.4,8.8,2.2,5.1,7.4,1.6,0.6,1.5,2,2.1,20.4,45,27,7,5.8,3.3,9.1,0,1,80,230
10,2015,1,14,Cameron Payne,SO,G,Murray State,OVC,35,32.2,7,15.3,4.6,9,2.4,6.4,3.8,4.8,0.6,3.1,3.7,6,1.9,0.5,2.5,2.1,20.2,59,29,6,9.9,-2.3,7.5,0,1,71,166
11,2016,1,20,Caris LeVert,SO,G,Michigan,Big Ten,37,34,4.4,10,2.8,6.1,1.6,4,2.5,3.2,0.5,3.8,4.3,2.9,1.2,0.3,1.7,1.7,12.9,37,23,13,4.1,6.3,10.4,0,1,77,200
12,2013,2,33,Carrick Felix,SR,G,Arizona State,Pac-12,35,35.3,5.4,10.8,3.9,6.8,1.5,4,2.3,3.5,2.1,6.1,8.1,1.6,1.4,1.1,2,3,14.6,84,22,13,3.7,1.7,5.3,0,1,78,190
13,2011,2,44,Charles Jenkins,SR,G,Hofstra,CAA,33,37.3,7.5,14.6,5.5,9.8,2,4.8,5.5,6.7,0.5,2.8,3.4,4.8,1.7,0.7,2.2,2,22.6,148,21,12,2.9,-2.2,0.7,0,1,75,215
14,2017,1,17,D.J. Wilson,JR,F,Michigan,Big Ten,38,30.4,4.3,8,3.2,5.1,1.1,2.9,1.3,1.6,1.5,3.8,5.3,1.3,0.5,1.5,1.1,1.9,11,16,26,12,11.6,3.9,15.6,0,1,80,215
15,2012,1,6,Damian Lillard,JR,G,Weber State,Big Sky,32,34.5,7.2,15.5,4.3,8.3,2.9,7.2,7.1,8,0.5,4.5,5,4,1.5,0.2,2.3,1.9,24.5,97,25,7,6.7,-2.1,4.6,0,1,73,165
16,2017,2,44,Damyean Dotson,SR,G,Houston,AAC,32,34.3,6.3,13.4,2.9,5.8,3.4,7.6,1.4,1.7,1.5,5.4,6.9,1.1,0.9,0.2,1,1.7,17.4,48,21,11,6.5,2.7,9.2,0,1,78,181
17,2012,2,55,Darius Johnson-Odom,SR,G,Marquette,Big East,34,32.9,6.2,13.8,3.9,7.9,2.3,5.9,3.7,4.9,0.6,2.9,3.5,2.7,0.9,0.1,2.4,2,18.3,14,27,8,10.5,3.2,13.7,0,1,74,205
18,2012,2,34,Jae Crowder,SR,F,Marquette,Big East,35,32.9,6.2,12.5,4.5,7.4,1.7,5.1,3.4,4.6,2,6.4,8.4,2.1,2.5,1,1.3,2.7,17.5,14,27,8,10.5,3.2,13.7,0,1,78,215
19,2017,2,32,Davon Reed,SR,G,Miami (FL),ACC,33,35.3,4.9,11.3,2.5,5.2,2.4,6,2.7,3.3,0.8,3.9,4.8,2.4,1.3,0.5,2,1.6,14.9,31,21,12,4.5,6.2,10.7,0,1,77,175
20,2016,1,21,DeAndre Bembry,JR,F,Saint Joseph's,A-10,36,37.3,6.6,13.8,5.7,10.3,0.9,3.6,3.3,4.9,1.4,6.3,7.8,4.5,1.4,0.8,2,2.4,17.4,51,28,8,6.5,2.2,8.7,0,1,78,165
21,2014,2,37,DeAndre Daniels,JR,F,Connecticut,AAC,38,29,4.9,10.6,3.6,7.4,1.3,3.2,1.8,2.3,1.4,4.6,6,0.4,0.7,1.4,1.5,2.4,13.1,25,31,8,4.3,8.5,12.7,0,1,79,191
22,2014,1,24,Shabazz Napier,SR,G,Connecticut,AAC,40,35.1,5.3,12.4,3.2,7,2.2,5.4,5.2,6,1,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18,25,31,8,4.3,8.5,12.7,0,1,71,165
23,2015,1,20,Delon Wright,SR,G,Utah,Pac-12,35,33.3,4.7,9.3,4,7.2,0.7,2.1,4.4,5.2,1,4,4.9,5.1,2.1,1,1.9,1.4,14.5,10,26,9,5,11.3,16.2,0,1,76,175
24,2017,1,9,Dennis Smith Jr.,FR,G,NC State,ACC,32,34.8,6,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,87,15,17,5.6,-0.8,4.8,0,1,74,190
25,2017,1,29,Derrick White,SR,G,Colorado,Pac-12,34,32.8,6,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,92,19,15,3.5,0.9,4.4,0,1,72,164
26,2017,2,45,Dillon Brooks,SO,F,Oregon,Pac-12,38,32.8,6.1,12.9,4.8,9.2,1.3,3.7,3.3,4.1,2,3.4,5.4,3.1,1.1,0.4,2.3,2.9,16.7,10,33,6,10.7,6.8,17.4,0,1,79,215
27,2016,1,11,Domantas Sabonis,SO,F,Gonzaga,WCC,36,31.9,6.6,10.9,6.5,10.5,0.1,0.4,4.2,5.4,3.1,8.8,11.8,1.8,0.6,0.9,2.6,3.2,17.6,26,28,8,6.4,6.1,12.5,0,1,82,230
28,2014,1,11,Doug McDermott,SR,F,Creighton,Big East,35,33.7,9.4,17.9,6.7,11.8,2.7,6.1,5.1,5.9,1.6,5.3,7,1.6,0.2,0.1,1.8,1.9,26.7,13,27,8,11.4,3.3,14.8,0,1,79,195
29,2014,1,29,Josh Huestis,SR,F,Stanford,Pac-12,36,35.2,4.3,9.6,3.6,7.5,0.7,2.1,1.8,2.8,2.5,5.7,8.2,1.2,0.6,1.9,1.2,2.1,11.2,61,23,13,4.5,3,7.4,0,1,79,200
30,2014,1,10,Elfrid Payton,JR,G,Louisiana,Sun Belt,35,35.9,6.8,13.3,6.4,11.8,0.4,1.5,5.3,8.6,2.3,3.7,6,5.9,2.3,0.6,3.6,2.4,19.2,270,20,11,1.1,-6.3,-5.2,0,1,73,170
