player_id,player_id,year,round,pick,Player,Class,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Rk,W,L,BPI Off,BPI Def,BPI,Player_Rank,Outside100,Height,Weight
400,400,2018,1,1,Deandre Ayton,FR,C,Arizona,Pac-12,35,33.5,7.9,12.9,7.5,11.9,0.3,1,4,5.5,3.4,8.2,11.6,1.6,0.6,1.9,2,2.3,20.1,26,27,8,9.4,2.5,11.9,3,0,84,250
401,401,2018,1,2,Marvin Bagley III,FR,C,Duke,ACC,33,33.9,8.2,13.3,7.5,11.6,0.7,1.8,4,6.3,4,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21,3,29,8,12.4,7.5,19.8,1,0,83,235
402,402,2018,1,4,Jaren Jackson Jr.,FR,F,Michigan State,Big 10,35,21.8,3.4,6.6,2.3,3.9,1.1,2.7,3,3.8,1.5,4.3,5.8,1.1,0.6,3,1.8,3.2,10.9,6,30,5,10.1,7.7,17.8,9,0,83,236
403,403,2018,1,5,Trae Young,FR,G,Oklahoma,Big 12,32,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,44,18,14,6.8,2.7,9.4,23,0,74,180
404,404,2018,1,6,Mo Bamba,FR,C,Texas,Big 12,30,30.2,4.9,9,4.4,7.3,0.5,1.7,2.7,4,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,40,19,15,3.2,6.8,10,4,0,84,225
405,405,2018,1,7,Wendell Carter Jr.,FR,C,Duke,ACC,37,26.9,4.8,8.6,4.3,7.4,0.5,1.2,3.4,4.5,2.9,6.1,9.1,2,0.8,2.1,2,2.8,13.5,3,29,8,12.4,7.5,19.8,5,0,82,259
406,406,2018,1,8,Collin Sexton,FR,G,Alabama,SEC,33,29.9,5.9,13.3,4.6,9.3,1.3,4,5.9,7.6,1,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,54,20,16,2.7,6,8.6,7,0,74,190
407,407,2018,1,9,Kevin Knox,FR,F,Kentucky,SEC,37,32.4,5.3,11.9,3.8,7.4,1.5,4.5,3.4,4.4,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,19,26,11,7,5.9,12.9,10,0,81,213
408,408,2018,1,10,Mikal Bridges,JR,F,Villanova,Big East,40,32.1,6.1,11.9,3.5,5.9,2.6,6,2.9,3.4,1.4,4,5.3,1.9,1.5,1.1,1.4,2.2,17.7,1,36,4,15.5,7.3,22.8,82,0,79,209
409,409,2018,1,11,Shai Gilgeous-Alexander,FR,G,Kentucky,SEC,37,33.7,4.9,10.2,4.3,8.6,0.6,1.5,3.9,4.7,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,19,26,11,7,5.9,12.9,35,0,78,180
410,410,2018,1,12,Miles Bridges,SO,F,Michigan State,Big 10,34,31.4,6.1,13.4,4.1,7.7,2.1,5.7,2.7,3.2,1.3,5.7,7,2.7,0.6,0.8,2,1.6,17.1,6,30,5,10.1,7.7,17.8,8,0,79,225
411,411,2018,1,13,Jerome Robinson,JR,G,Boston College,ACC,35,36,7.1,14.7,4.8,9,2.3,5.7,4.2,5,0.5,3.1,3.6,3.3,0.9,0.1,2.7,2.5,20.7,80,19,16,4.9,1.5,6.4,0,1,77,190
412,412,2018,1,14,Michael Porter Jr.,FR,F,Missouri,SEC,3,17.7,3.3,10,2.3,6.7,1,3.3,2.3,3,1.3,5.3,6.7,0.3,1,0.3,1,2,10,49,20,13,4.4,4.8,9.1,2,0,82,210
413,413,2018,1,15,Troy Brown Jr.,FR,F,Oregon,Pac-12,35,31.2,4.1,9.2,3.2,6.1,0.9,3.1,2.2,3,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,72,23,13,4.4,2.4,6.9,15,0,79,215
414,414,2018,1,16,Zhaire Smith,FR,F,Texas Tech,Big 12,37,28.4,4.2,7.5,3.7,6.4,0.5,1.1,2.5,3.4,2.2,2.8,5,1.8,1.1,1.1,1.1,1.8,11.3,11,27,10,5.8,9.3,15.1,0,1,76,199
415,415,2018,1,17,Donte DiVincenzo,JR,G,Villanova,Big East,40,29.3,4.7,9.8,2.6,4.5,2.1,5.3,1.9,2.7,1.2,3.6,4.8,3.5,1.1,0.2,2,2.1,13.4,1,36,4,15.5,7.3,22.8,0,1,77,201
416,416,2018,1,18,Lonnie Walker IV,FR,G,Miami (FL),ACC,32,27.8,4.1,9.9,2.4,4.9,1.8,5.1,1.5,2,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,35,22,10,4.9,5.7,10.6,13,0,76,196
417,417,2018,1,19,Kevin Huerter,SO,G,Maryland,Big 10,32,34.4,5.1,10.1,2.8,4.6,2.3,5.5,2.3,3.1,1,4.1,5,3.4,0.6,0.7,2.5,2.4,14.8,39,19,13,5.7,4.5,10.2,49,0,79,190
418,418,2018,1,20,Josh Okogie,SO,G,Georgia Tech,ACC,24,36.4,5.5,13.3,4,9.2,1.6,4.2,5.5,6.8,2.3,4,6.3,2.5,1.8,1,2.5,2.9,18.2,124,13,19,-1,3.7,2.7,0,1,76,211
419,419,2018,1,21,Grayson Allen,SR,G,Duke,ACC,37,35.6,4.9,11.7,2.1,4.2,2.8,7.5,2.9,3.4,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1,15.5,3,29,8,12.4,7.5,19.8,21,0,77,195
420,420,2018,1,22,Chandler Hutchison,SR,G,Boise State,Mountain West,31,31,6.6,13.9,5.1,9.8,1.5,4.1,5.3,7.2,0.9,6.8,7.7,3.5,1.5,0.3,3.4,2.4,20,57,23,9,3.1,5,8.1,80,0,79,196
421,421,2018,1,23,Aaron Holiday,JR,G,UCLA,Pac-12,33,37.7,6.4,13.9,3.8,7.7,2.7,6.2,4.8,5.8,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,56,21,12,6.9,1.3,8.1,88,0,73,187
422,422,2018,1,25,Moritz Wagner,JR,C,Michigan,Big 10,39,27.6,5.5,10.5,3.9,6.4,1.6,4.1,1.9,2.8,1.5,5.7,7.1,0.8,1,0.5,1.4,3.1,14.6,12,33,8,6.5,8.5,15.1,0,1,83,240
423,423,2018,1,26,Landry Shamet,JR,G,Wichita State,AAC,32,31.7,4.8,9.8,2.2,3.9,2.6,5.9,2.7,3.2,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9,14.9,15,25,8,10.4,3.8,14.2,0,1,77,189
424,424,2018,1,27,Robert Williams III,SO,C,Texas A&M,SEC,30,25.6,4.6,7.3,4.6,6.9,0,0.4,1.1,2.3,2.4,6.9,9.2,1.4,0.8,2.6,1.7,2.2,10.4,32,22,13,4.1,6.7,10.8,50,0,82,237
425,425,2018,1,28,Jacob Evans,JR,F,Cincinnati,AAC,36,30.8,4.5,10.5,2.8,6,1.7,4.5,2.4,3.2,1.4,3.3,4.7,3.1,1.3,1,1.8,2,13,5,31,5,6.3,12.2,18.5,0,1,78,200
426,426,2018,1,30,Omari Spellman,FR,F,Villanova,Big East,40,28.1,4,8.4,2.4,4.7,1.6,3.8,1.2,1.8,2.3,5.8,8,0.8,0.7,1.5,1,2.3,10.9,1,36,4,15.5,7.3,22.8,18,0,81,255
427,427,2018,2,32,Jevon Carter,SR,G,West Virginia,Big 12,37,35.5,5.8,13.8,3.7,8.5,2.1,5.3,3.6,4.2,0.8,3.9,4.6,6.6,3,0.4,2.6,3,17.3,9,26,11,9.4,6.4,15.8,0,1,74,200
428,428,2018,2,33,Jalen Brunson,JR,G,Villanova,Big East,40,31.8,6.8,13,4.6,7.7,2.2,5.3,3.3,4.1,0.3,2.8,3.1,4.6,0.9,0,1.8,2,18.9,1,36,4,15.5,7.3,22.8,16,0,74,198
429,429,2018,2,34,Devonte' Graham,SR,G,Kansas,Big 12,39,37.8,5.1,12.8,2.3,5.8,2.8,6.9,4.3,5.2,0.6,3.4,4,7.2,1.6,0.1,2.8,1.4,17.3,7,31,8,11.2,5.2,16.5,0,1,74,186
430,430,2018,2,35,Melvin Frazier Jr.,JR,F,Tulane,AAC,30,34.4,6,10.7,4.8,7.7,1.2,3,2.8,3.9,1.2,4.4,5.6,2.9,2.2,0.7,2.6,2,15.9,170,14,17,0.7,-0.7,0,0,1,78,201
431,431,2018,2,37,Gary Trent Jr.,FR,G,Duke,ACC,37,33.9,4.8,11.5,2.2,5,2.6,6.5,2.3,2.6,0.8,3.4,4.2,1.4,1.2,0.1,1,1.7,14.5,3,29,8,12.4,7.5,19.8,8,0,78,209
