,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2174,2173,Ryan Allen\ryan-allen-3,FR,2017-18,G,Delaware,CAA,30,1072,35.7,5.4,13.4,2.6,6,2.9,7.4,1.6,2.2,0.3,2.2,2.5,1.5,0.5,0.2,1.6,2.9,15.3
1258,1257,Cameron Young\cameron-young-1,SR,2017-18,G,Quinnipiac,MAAC,33,1124,34.1,5.7,13.4,3.7,7,1.9,6.4,5.6,7.4,1.8,5,6.8,2.8,1.3,0.3,2.8,2.6,18.8
1004,1003,Andrew Rowsey\andrew-rowsey-1,SR,2017-18,G,Marquette,Big East,35,1143,32.7,5.9,14.1,2.4,5.5,3.6,8.6,5,5.5,0.4,2.6,3,4.8,0.9,0.2,2.8,2.4,20.5
282,281,Jashaun Agosto\jashaun-agosto-1,SO,2017-18,G,Long Island University,NEC,34,1234,36.3,4.1,10.1,2.5,5.4,1.5,4.7,2.2,2.9,0.4,3.8,4.2,4.2,0.7,0.1,2.4,2.5,11.8
1710,1709,Thomas Welsh\thomas-welsh-1,SR,2017-18,C,UCLA,Pac-12,33,1096,33.2,4.9,10.1,3.5,6.7,1.4,3.4,1.5,1.8,2.6,8.2,10.8,1.4,0.7,0.9,1,2.4,12.6
1001,1000,Fletcher Magee\fletcher-magee-1,JR,2017-18,G,Wofford,Southern,34,1143,33.6,7.4,15.4,3.1,5.5,4.4,9.9,2.9,3.1,0.3,2.7,2.9,1.7,0.9,0.1,1.7,1.8,22.1
1708,1707,Michael Oguine\michael-oguine-1,JR,2017-18,G,Montana,Big Sky,34,1096,32.2,5.2,11.3,3.9,7.5,1.4,3.8,4,5.5,2.1,3.4,5.5,2,1.4,0.5,1.3,2.8,15.8
994,993,Johquin Wiley\johquin-wiley-1,FR,2017-18,PG,Delaware State,MEAC,32,1144,35.8,3.1,8.5,1.8,4.4,1.3,4.1,1.1,1.7,0.3,1.6,1.9,2.8,1.5,0,2.6,1.5,8.5
1812,1811,Trae Bell-Haynes\trae-bell-haynes-1,SR,2017-18,G,Vermont,AEC,34,1089,32,4.9,9.6,4.2,7.7,0.6,1.9,4.2,5.8,0.6,3.7,4.3,4.1,1.1,0.1,3.1,2.4,14.6
570,569,Kassius Robertson\kassius-robertson-1,SR,2017-18,G,Missouri,SEC,33,1187,36,4.8,11.3,1.6,4,3.2,7.4,3.5,4.4,0.3,2.7,3,2.3,1,0.1,2.3,1.7,16.3
